ISO;Country;Subject Descriptor;Units;Scale;Country/Series-specific Notes;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;Estimates Start After
AFG;Afghanistan;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;4.367;4.553;5.146;6.167;6.925;8.556;10.297;12.066;15.325;17.890;20.293;20.170;20.635;20.220;17.994;18.910;18.401;18.876;19.132;19.938;21.201;22.010;22.754;23.896;24.553;2019
ALB;Albania;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;1.946;2.229;2.296;2.319;2.290;2.339;2.587;2.566;2.530;2.779;2.221;1.333;0.843;1.461;2.361;2.882;3.200;2.259;2.560;3.209;3.483;3.928;4.348;5.611;7.185;8.052;8.896;10.677;12.881;12.044;11.937;12.899;12.324;12.784;13.246;11.389;11.862;13.053;15.147;15.276;15.147;17.138;18.320;19.662;21.009;22.422;23.903;2019
DZA;Algeria;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;42.346;44.372;44.780;47.529;51.513;61.132;61.535;63.300;51.664;52.558;61.892;46.670;49.217;50.963;42.426;42.066;46.941;48.178;48.188;48.845;54.749;54.745;56.761;67.864;85.327;103.198;117.027;134.977;171.001;137.054;161.207;200.251;209.059;209.755;213.810;165.979;160.034;170.207;175.367;171.070;144.294;151.459;150.135;150.035;150.530;151.906;153.802;2019
AGO;Angola;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;6.639;6.214;6.214;6.476;6.864;8.457;7.918;9.050;9.818;11.421;12.571;12.186;9.395;6.819;4.965;6.197;7.994;9.388;7.958;7.526;11.166;10.930;15.286;17.813;23.552;36.971;52.381;65.266;88.539;70.307;83.799;111.790;128.053;136.710;145.712;116.194;101.124;122.124;105.902;89.603;62.440;66.493;68.532;72.894;78.231;84.371;89.816;2019
ATG;Antigua and Barbuda;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;0.131;0.148;0.164;0.182;0.208;0.241;0.290;0.337;0.399;0.439;0.459;0.482;0.499;0.535;0.589;0.577;0.634;0.681;0.728;0.766;0.830;0.801;0.815;0.856;0.920;1.022;1.157;1.311;1.368;1.224;1.149;1.138;1.200;1.181;1.250;1.337;1.437;1.468;1.605;1.662;1.390;1.376;1.570;1.702;1.838;1.947;2.046;2019
ARG;Argentina;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;233.696;189.802;94.250;116.267;130.544;98.599;118.565;121.561;142.386;91.352;158.024;211.979;255.787;264.429;287.835;288.497;304.282;327.436;334.244;316.998;317.759;300.421;112.458;142.431;164.911;199.273;232.892;287.921;363.545;334.633;424.729;527.644;579.666;611.471;563.614;642.464;556.774;643.861;517.244;444.458;388.279;418.150;434.809;453.965;472.945;491.106;509.762;2019
ARM;Armenia;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0.108;0.835;0.648;1.287;1.597;1.639;1.892;1.845;1.912;2.118;2.376;2.807;3.577;4.900;6.384;9.206;11.662;8.648;9.260;10.142;10.619;11.121;11.610;10.553;10.546;11.527;12.458;13.673;12.339;12.251;12.955;14.037;15.212;16.532;17.967;2019
ABW;Aruba;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;1.321;1.380;1.532;1.665;1.723;1.873;1.896;1.962;2.044;2.255;2.360;2.470;2.678;2.843;2.554;2.454;2.638;2.615;2.728;2.791;2.963;2.984;3.092;3.202;3.342;2.458;2.582;2.948;3.269;3.590;3.746;3.879;2017
AUS;Australia;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;162.628;188.067;186.709;179.151;196.777;174.067;181.147;212.712;270.594;307.720;323.397;323.783;317.475;308.755;352.564;378.136;423.544;425.536;380.614;411.059;399.101;376.714;424.425;539.562;656.735;734.057;781.291;947.890;1,055.507;998.928;1,251.853;1,513.684;1,569.319;1,518.427;1,457.388;1,234.823;1,266.268;1,385.194;1,421.303;1,391.536;1,359.326;1,617.543;1,693.021;1,772.975;1,848.922;1,929.056;2,017.317;2020
AUT;Austria;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;80.923;70.121;70.111;71.032;67.007;68.624;97.375;121.771;133.591;133.263;166.866;174.435;195.506;190.383;203.970;241.234;237.343;213.045;218.557;217.475;197.377;197.510;214.243;262.208;301.321;316.267;336.298;389.231;432.005;401.323;392.595;431.609;409.661;430.197;442.699;382.010;395.728;417.091;455.301;445.125;428.622;481.796;514.956;537.758;560.561;582.126;604.261;2019
